Frequency [kHz], Amplitude Normalized
2.999709302325581, 0.05230378890392395
3.0037085976039464, 0.04999999999999982
3.0077078928823116, 0.04999999999999982
3.0117071881606767, 0.04999999999999982
3.0157064834390415, 0.04999999999999982
3.0197057787174066, 0.04999999999999982
3.023705073995772, 0.053839648173206855
3.0277043692741366, 0.053839648173206855
3.0317036645525017, 0.05767929634641389
3.035702959830867, 0.05767929634641389
3.0397022551092316, 0.053839648173206855
3.043701550387597, 0.05767929634641389
3.047700845665962, 0.05767929634641389
3.051700140944327, 0.05767929634641389
3.055699436222692, 0.05767929634641389
3.059698731501057, 0.053839648173206855
3.0636980267794223, 0.06151894451962092
3.067697322057787, 0.06151894451962092
3.071696617336152, 0.06151894451962092
3.0756959126145174, 0.06151894451962092
3.079695207892882, 0.06791835814163272
3.0836945031712473, 0.06535859269282795
3.0876937984496124, 0.06535859269282795
3.0916930937279776, 0.06919824086603499
3.0956923890063424, 0.06919824086603499
3.0996916842847075, 0.06791835814163272
3.1036909795630727, 0.07303788903924202
3.1076902748414374, 0.07303788903924202
3.1116895701198026, 0.07303788903924202
3.115688865398168, 0.07687753721244905
3.1196881606765325, 0.07687753721244883
3.1236874559548977, 0.07687753721244905
3.127686751233263, 0.08071718538565609
3.131686046511628, 0.08071718538565609
3.135685341789993, 0.08071718538565609
3.139684637068358, 0.08148511502029732
3.143683932346723, 0.08455683355886312
3.147683227625088, 0.08455683355886312
3.151682522903453, 0.08455683355886312
3.1556818181818183, 0.08839648173207015
3.1596811134601834, 0.0907002706359945
3.163680408738548, 0.08839648173207015
3.1676797040169133, 0.09223612990527719
3.1716789992952785, 0.09223612990527719
3.1756782945736433, 0.09223612990527719
3.1796775898520084, 0.09479589535408195
3.1836768851303736, 0.09991542625169125
3.1876761804087383, 0.09991542625169125
3.1916754756871035, 0.09991542625169125
3.1956747709654687, 0.09991542625169125
3.199674066243834, 0.10145128552097393
3.2036733615221986, 0.10759472259810532
3.207672656800564, 0.10759472259810532
3.211671952078929, 0.11143437077131235
3.2156712473572937, 0.11143437077131235
3.219670542635659, 0.11527401894451939
3.223669837914024, 0.11527401894451939
3.2276691331923892, 0.11911366711772642
3.231668428470754, 0.12295331529093345
3.235667723749119, 0.12295331529093345
3.2396670190274843, 0.12679296346414048
3.243666314305849, 0.13063261163734752
3.2476656095842142, 0.13063261163734752
3.2516649048625794, 0.13447225981055455
3.255664200140944, 0.13831190798376158
3.2596634954193093, 0.13831190798376158
3.2636627906976745, 0.13831190798376158
3.2676620859760392, 0.14599120433017565
3.2716613812544044, 0.14599120433017565
3.2756606765327696, 0.15367050067658972
3.2796599718111348, 0.15367050067658972
3.2836592670894995, 0.16134979702300378
3.2876585623678647, 0.16518944519621082
3.29165785764623, 0.16902909336941785
3.2956571529245946, 0.16902909336941785
3.29965644820296, 0.1782442489851146
3.303655743481325, 0.17670838971583192
3.30765503875969, 0.18438768606224598
3.311654334038055, 0.19206698240866005
3.31565362931642, 0.19206698240866005
3.3196529245947852, 0.1997462787550741
3.32365221987315, 0.20358592692828115
3.327651515151515, 0.20742557510148818
3.3316508104298803, 0.21510487144790225
3.335650105708245, 0.21894451962110928
3.3396494009866102, 0.23046346414073038
3.3436486962649754, 0.23046346414073038
3.34764799154334, 0.23814276048714444
3.3516472868217053, 0.24582205683355873
3.3556465821000705, 0.2535013531799728
3.3596458773784357, 0.2599007668019846
3.3636451726568004, 0.26885994587280093
3.3676444679351656, 0.276539242219215
3.3716437632135308, 0.28421853856562906
3.375643058491896, 0.2995771312584572
3.3796423537702607, 0.30725642760487126
3.383641649048626, 0.31877537212449236
3.387640944326991, 0.32645466847090643
3.3916402396053558, 0.3379736129905275
3.395639534883721, 0.35333220568335566
3.399638830162086, 0.3599144596945678
3.403638125440451, 0.37637009472259786
3.407637420718816, 0.3917286874154261
3.411636715997181, 0.40708728010825423
3.415636011275546, 0.43012516914749643
3.419635306553911, 0.4395109757931137
3.4236346018322763, 0.45700270635994567
3.4276338971106415, 0.47620094722598083
3.431633192389006, 0.49923883626522314
3.4356324876673714, 0.5184370771312583
3.4396317829457366, 0.5376353179972935
3.4436310782241013, 0.5645128552097427
3.4476303735024665, 0.591390392422192
3.4516296687808317, 0.6297868741542624
3.455628964059197, 0.6605040595399186
3.4596282593375616, 0.6854617726657644
3.4636275546159268, 0.7142591339648172
3.467626849894292, 0.7449763193504735
3.4716261451726567, 0.7795331529093368
3.475625440451022, 0.8064106901217861
3.479624735729387, 0.8448071718538565
3.4836240310077518, 0.8755243572395128
3.487623326286117, 0.9024018944519621
3.491622621564482, 0.9177604871447902
3.495621916842847, 0.9446380243572394
3.499621212121212, 0.9599966170500676
3.503620507399577, 0.9753552097428957
3.5076198026779424, 0.9715155615696887
3.5116190979563076, 0.9638362652232746
3.5156183932346723, 0.9446380243572394
3.5196176885130375, 0.9254397834912043
3.5236169837914026, 0.898562246278755
3.5276162790697674, 0.8793640054127199
3.5316155743481326, 0.8409675236806494
3.5356148696264977, 0.8102503382949932
3.5396141649048625, 0.7766951520856621
3.5436134601832276, 0.7449763193504735
3.547612755461593, 0.7027401894451961
3.5516120507399576, 0.6720230040595397
3.5556113460183227, 0.6297868741542624
3.559610641296688, 0.6044451962110959
3.5636099365750527, 0.5721921515561568
3.567609231853418, 0.5491542625169146
3.571608527131783, 0.5222767253044653
3.575607822410148, 0.5030784844384302
3.579607117688513, 0.47716085926928264
3.583606412966878, 0.45316305818673863
3.5876057082452433, 0.43012516914749643
3.5916050035236085, 0.4147665764546683
3.595604298801973, 0.3917286874154261
