x [mm],ls [mV],ld [mV],bs [Hz],bd [Hz]
4.22,125.5,355.4,88.7,7.2
4.24,125.5,306.4,93.2,6.1
4.26,125.5,267.4,86.8,7.2
4.28,125.5,223.4,92.7,4.2
4.3,125.5,171.4,91.4,6.4
4.32,126.5,156.4,93.2,7.4
4.34,126.5,116.4,93.3,11.1
4.36,126.5,87.4,96.8,12.6
4.38,127.5,58.8,94.8,20
4.4,127.5,42.8,96.8,25.3
4.42,128.5,27.8,91.9,26.4
4.44,128.5,19.0,100.1,32.3
4.46,128.5,17.1,92.7,35.5
4.48,128.5,22.7,90.1,46
4.5,129.5,34.3,94.5,46.4
4.52,129.5,53.2,93.7,54.6
4.54,129.5,80.0,96.3,57.4
4.56,129.5,113.4,98.2,63.7
4.58,129.5,152.4,97.7,67.4
4.6,129.5,195.4,96.6,75.5
4.62,128.5,226.4,95.6,71.2
4.64,129.5,287.4,96.4,73.9
4.66,129.5,346.4,92.7,72
4.68,129.5,396.4,93.7,65.4
4.7,129.5,450.4,99.7,65.9
4.72,129.5,492.4,95.1,67.4
4.74,129.5,553.4,100,65.1
4.76,130.5,603.4,98.9,59
4.78,130.5,642.4,99.8,59.8
4.8,130.5,678.4,94.9,48.8
4.82,130.5,748.4,101.9,45
4.84,130.5,772.4,102.2,37.1
4.86,130.5,793.4,100,32.7
4.88,130.5,803.4,95.6,29
4.9,129.5,813.4,93.6,22.9
4.92,129.5,810.4,99.8,18.3
4.94,129.5,779.4,102.6,13.7
4.96,128.5,770.4,95.3,11.2
4.98,128.5,757.4,98.3,6.9
5,128.5,734.4,99.5,7.2
5.02,127.5,704.4,103.2,5.1
5.04,126.5,675.4,102.8,5.5
5.06,127.5,642.4,101.6,6.1
5.08,127.5,592.4,99.7,8.7
5.1,126.5,523.4,98.1,8.9
5.12,127.5,500.4,99.7,14.4
5.14,127.5,450.4,95.3,17.9
5.16,126.5,396.4,100.9,20.5
5.18,126.5,347.4,95.2,29.4
5.2,127.5,297.4,97.3,32.5
5.22,127.5,253.4,92.9,45.6
5.24,127.5,204.4,100.6,47.1
5.26,126.5,156.4,98.1,49.1
5.28,126.5,124.4,93.9,59.3
5.3,126.5,92.4,95.5,60.3
5.32,126.5,66.6,92.3,65.5
5.34,126.5,47.3,93.4,69.4
5.36,126.5,30.8,91.7,79.3
5.38,125.5,20.9,91.7,76.9
5.4,125.5,15.6,94.5,78
5.42,125.5,16.2,94.4,78.9
5.44,125.5,22.7,92.6,71.5
5.46,125.5,35.0,89.5,77.8
5.48,125.5,52.8,86.7,69.6
5.5,125.5,80.0,94.4,68.4
5.52,125.5,104.4,93.6,66.5
5.54,125.5,132.4,91.6,58.1
5.56,125.5,171.4,94.2,57.4
5.58,124.5,215.4,85.3,49.9
5.6,124.5,255.4,90.9,42.4
5.62,123.5,299.4,85.4,36.7
5.64,123.5,348.4,85.3,28.1
5.66,122.5,389.4,88.8,26.9
5.68,122.5,438.4,87,22.9
5.7,122.5,482.4,85.3,15.4
5.72,121.5,520.4,88.6,13.2
5.74,120.5,559.4,84.2,8.2
5.76,120.5,591.4,83.1,8.5
5.78,120.5,626.4,82.8,4.5
5.8,119.5,649.4,76.2,4.7
5.82,119.5,664.4,79.1,5.7
5.84,119.5,686.4,79,3.8
5.86,118.5,695.4,87,7.4
5.88,117.5,699.4,76.4,9.8
5.9,116.5,703.4,81.6,12.9
5.92,116.5,693.4,80.7,18.2
5.94,116.5,679.4,79,22.9
5.96,115.5,659.4,74.7,26.7
5.98,115.5,630.4,80.4,34
6,114.5,600.4,71.6,39.4
6.02,114.5,561.4,79.2,43.4
6.04,113.5,524.4,78.5,49.2
6.06,113.5,483.4,70.1,55.6
6.08,112.5,443.4,68.1,60.4
6.1,111.5,405.4,67.7,62.2
6.12,111.5,351.4,74.2,68.8
6.14,110.5,313.4,71.5,64.9
6.16,109.5,273.4,71.5,65.9
6.18,109.5,230.4,68.6,66.4
6.2,108.5,196.4,68.2,67.2
6.22,108.5,157.4,63.8,61.3
6.24,107.5,124.4,61.2,60.5
6.26,106.5,100.4,66.8,63.1
6.28,105.5,66.1,68.9,59.5
6.3,104.5,51.0,66.2,61.6
6.32,104.5,32.6,61.9,48.4
6.34,103.5,23.4,60.8,45.2
6.36,102.5,17.1,68.8,39.9
6.38,102.5,16.8,62.9,33.4
6.4,101.5,20.7,58,30.5
6.42,100.5,27.2,55.8,27.7
6.44,100.5,44.0,59.6,20.5
6.46,99.5,61.4,61,16.2
6.48,98.5,85.3,56.4,10.6
6.5,97.5,111.4,54,10.9
6.52,96.5,138.4,58.3,6.6
6.54,95.5,164.4,55.8,5
6.56,94.5,196.4,54.1,2.9
6.58,94.5,229.4,51.5,3.7
6.6,93.5,263.4,53.2,4.3
6.62,92.5,286.4,52.8,6.3
6.64,91.5,328.4,49.2,9.3
6.66,90.5,354.4,46.4,13.9
6.68,89.8,381.4,52.9,13.8
6.7,88.3,405.4,50.1,19.5
6.72,87.7,420.4,49.9,16.8
6.74,87.1,439.4,53.7,21.5
6.76,86.1,453.4,47.5,28.2
6.78,85.8,464.4,44.9,32.5
6.8,84.9,472.4,43.2,33.7
6.82,84.1,476.4,41.9,39.1
6.84,83.1,474.4,44.5,45.3
6.86,82.3,469.4,42,42.3
6.88,81.7,460.4,38.2,48.9
6.9,81.2,448.4,37.2,49.5
6.92,79.9,434.4,42.4,50.7
6.94,79.5,411.4,42.1,50.1
6.96,78.4,393.4,42,50.9
